new covid19 cases,new covid19,je,last 24,covid19 outbreak,casos nuevos,confinement,contagios,nous,stay home stay,vous,qu,active cases,il faut,april,pas,new covid 19,new covid,staying home,wearing masks,front lines,covid 19 cases,19 cases,est pas,il est,second,spike,ppe,ministerio salud,ce,est,increase
251,672,4653,563,735,512,0,0,3697,363,4416,3434,894,574,10029,8526,1633,1669,591,0,639,5017,5036,1079,646,0,0,4273,0,5246,12500,0
268,648,3910,505,613,0,0,0,2965,303,3138,2843,598,448,5272,6581,1387,1413,454,0,546,3900,3920,761,510,2508,0,3290,0,4278,9400,2479
296,628,4318,662,0,596,0,3296,3143,378,3276,2948,792,0,3803,7306,1926,1953,606,637,0,4931,4950,876,574,0,0,3016,0,4461,10032,2810
-1,-1,4405,-1,0,-1,0,3181,3331,-1,3449,3671,-1,-1,3459,7779,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,3705,-1,4534,10783,0
-1,-1,4134,-1,-1,0,0,0,3396,-1,3673,3482,-1,-1,3782,7494,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,4259,0,4910,11050,3374
297,725,3833,787,559,0,0,3459,0,314,3391,0,819,594,3887,6910,2011,2065,0,0,580,5250,5276,846,592,3940,0,0,0,4500,10723,3407
297,748,4326,0,601,0,0,0,0,326,3556,0,926,576,3632,7362,1920,1967,1186,537,1094,4708,4735,869,624,0,0,4205,0,4934,11266,0
320,744,4555,679,569,0,0,3824,3570,273,4025,0,918,561,3484,7648,1939,1980,1113,545,589,5180,5208,846,572,0,0,6347,0,5135,11536,0
0,736,3823,668,0,0,0,3749,0,0,0,0,951,0,5104,6884,1756,1809,766,684,0,5169,5192,818,0,3323,0,3531,0,4339,10031,0
0,707,3827,693,0,0,0,0,0,0,3213,0,1092,0,0,6693,2087,2112,0,707,0,5436,5467,878,0,3216,0,0,0,4161,9823,0
373,780,4823,695,0,606,3478,0,3078,416,3961,3344,955,0,0,7732,2288,2354,815,569,0,5275,5305,955,584,4858,0,3212,0,4725,11657,0
360,724,4479,731,545,614,0,3620,3333,0,4504,3322,884,0,0,8290,2070,2111,573,770,0,5336,5360,1040,875,4838,0,0,0,5129,12237,0
305,619,3553,568,0,0,0,3220,0,0,3258,0,786,0,0,6001,1899,1947,0,0,0,4663,4672,736,0,3954,0,0,0,3865,9113,0
0,646,3241,555,0,601,0,3711,0,0,0,0,745,0,0,5298,2036,2073,0,596,0,4538,4564,688,0,4275,0,0,0,3589,8492,0
319,681,3691,581,609,569,0,3761,0,0,0,0,877,553,0,6500,2098,2172,0,590,570,4975,4987,838,585,3719,0,3441,604,4070,9729,0
386,822,3705,702,0,0,0,3644,0,0,0,0,959,0,3618,6749,2003,2076,0,0,0,5284,5314,1028,0,4128,0,3538,0,4126,10216,0
407,709,3507,732,0,686,0,3576,0,0,0,0,1102,0,0,6323,2664,2717,0,642,0,6044,6068,739,0,3375,0,0,657,3636,9048,0
360,646,2902,821,0,525,0,3191,0,310,0,0,1017,0,0,4917,2831,3036,544,659,0,5690,5709,603,0,3431,0,0,504,3015,7231,2880
316,706,2973,683,0,491,0,2927,0,0,0,0,866,0,0,5336,1908,2060,488,527,0,4847,4865,690,0,3010,0,0,0,3547,7861,0
352,750,2405,518,0,531,0,2948,0,0,0,0,477,0,0,4127,1951,2013,0,0,0,5228,5276,0,0,2380,0,0,430,2513,5826,0
347,724,2378,600,0,606,0,3418,0,0,0,0,478,0,0,3585,1979,2034,0,554,0,5480,5496,0,0,5493,0,0,473,2320,5786,0
344,741,0,724,0,711,0,5880,0,0,0,0,1064,0,0,4824,2303,2366,0,724,0,6590,6609,657,0,6364,0,0,619,0,7132,3234
318,729,0,651,0,760,0,4494,0,0,0,0,1173,0,0,4932,2181,2285,0,0,0,5627,5652,0,0,5542,0,0,624,3239,7125,3019
344,711,0,764,0,777,0,4085,0,0,0,0,1071,0,0,5079,2067,2148,511,630,0,5933,5963,692,0,5767,0,0,582,3328,7284,0
341,723,2711,720,0,717,0,4137,0,257,0,0,1112,0,0,4491,2060,2105,506,762,0,5837,5849,534,0,5789,0,0,590,2877,6367,0
372,781,2899,772,0,803,0,4394,0,0,0,0,1091,0,0,4782,2362,2428,0,884,0,6166,6192,532,0,4937,0,0,567,3350,7104,0
387,881,0,787,0,766,0,4937,0,0,0,0,1192,0,0,4650,2332,2402,0,843,0,5925,5949,614,0,5727,0,0,734,3370,7528,3056
431,868,0,798,0,766,0,5333,0,0,0,0,1309,0,0,4726,2270,2320,0,816,0,6085,6108,635,0,4097,0,0,735,3309,8329,0
434,908,2864,687,0,754,0,5240,0,0,0,0,1051,0,0,4386,2092,2167,0,874,0,5616,5644,0,0,4493,0,0,577,0,7347,0
446,911,0,889,0,765,0,4345,0,0,0,0,1084,0,0,4035,2374,2446,0,860,0,5789,5810,0,0,3926,3103,0,619,2853,6357,0
486,818,2479,995,0,704,0,4395,0,0,0,0,1132,0,0,3980,2637,2686,0,912,0,5658,5691,403,0,3592,3170,0,714,2488,5795,0
540,922,2432,973,0,717,0,3924,0,0,0,0,1132,0,0,3556,2007,2044,0,859,0,5815,5839,0,0,3418,3668,0,708,0,5703,2687
418,780,2922,765,0,684,0,4216,0,0,0,0,1109,0,0,3444,2164,2228,0,724,0,5915,5930,450,0,4336,2776,0,621,0,5730,2627
455,894,2924,742,0,764,0,4547,0,0,0,0,1073,0,0,4042,2561,2629,0,600,0,6152,6167,553,0,4484,0,0,774,2834,6799,0
442,768,2840,1128,0,795,0,4161,0,0,0,0,1098,0,0,3951,2315,2382,0,639,0,5770,5794,0,0,5131,2800,0,805,0,6292,3124
483,857,2690,936,0,842,0,5063,0,0,0,0,1038,0,3285,3685,2437,2508,0,645,0,5985,5997,453,0,3827,2996,0,613,0,5806,2875
485,873,0,999,0,769,0,3987,0,0,0,0,1110,0,0,3645,2195,2242,0,689,0,5873,5889,0,0,3925,2706,0,676,0,5912,3365
506,762,0,1051,0,640,0,2936,0,0,0,0,990,0,0,3044,1979,2059,0,867,0,5589,5615,0,0,4221,2785,0,617,0,4875,2557
521,829,2032,1197,0,789,0,3546,0,0,0,0,1085,0,0,2703,2152,2375,0,773,0,5889,5912,0,0,3825,2806,0,651,0,4418,2616
569,878,0,759,0,799,0,4459,0,0,0,0,2713,0,0,3661,2467,2548,0,843,0,7133,7164,0,0,3628,0,0,731,0,5530,2800
